iter	Passed	Remaining
343	861	1642
344	863	1638
345	864	1634
346	866	1630
347	868	1627
348	870	1623
349	871	1618
350	872	1614
351	875	1611
352	877	1607
353	878	1603
354	880	1598
355	881	1595
356	883	1590
357	885	1587
358	886	1583
359	888	1579
360	889	1575
361	891	1571
362	893	1567
363	894	1563
364	896	1558
365	897	1554
366	899	1551
367	901	1547
368	902	1543
369	904	1540
370	906	1537
371	908	1533
372	910	1530
373	912	1526
374	913	1522
375	915	1518
376	916	1514
377	917	1510
378	919	1506
379	921	1502
380	922	1498
381	924	1494
382	925	1491
383	927	1487
384	928	1483
385	930	1479
386	931	1474
387	932	1471
388	934	1467
389	935	1463
390	937	1460
391	939	1457
392	941	1454
393	943	1450
394	944	1447
395	946	1444
396	948	1440
397	950	1437
398	952	1434
399	953	1430
400	955	1427
401	956	1423
402	958	1420
403	960	1416
404	962	1413
405	964	1410
406	966	1407
407	967	1404
408	969	1400
409	970	1396
410	972	1394
411	974	1390
412	976	1387
413	978	1384
414	980	1381
415	982	1378
416	984	1376
417	985	1372
418	987	1369
419	988	1365
420	990	1362
421	992	1359
422	994	1356
423	995	1352
424	1040	1407
425	1042	1404
426	1046	1404
427	1051	1405
428	1054	1404
429	1057	1401
430	1059	1398
431	1061	1395
432	1064	1393
433	1065	1390
434	1067	1386
435	1069	1382
436	1070	1379
437	1072	1376
438	1074	1372
439	1075	1369
440	1077	1365
441	1079	1362
442	1081	1359
443	1083	1356
444	1084	1352
445	1086	1349
446	1088	1346
447	1089	1342
448	1090	1338
449	1092	1334
450	1093	1331
451	1095	1328
452	1097	1324
453	1099	1321
454	1100	1318
455	1102	1315
456	1104	1312
457	1106	1309
458	1108	1306
459	1110	1303
460	1112	1300
461	1114	1297
462	1116	1294
463	1117	1291
464	1119	1288
465	1121	1284
466	1122	1281
467	1124	1278
468	1126	1274
469	1127	1271
470	1129	1268
471	1130	1264
472	1132	1262
473	1135	1259
474	1137	1256
475	1139	1254
476	1141	1251
477	1142	1248
478	1144	1244
479	1146	1241
480	1147	1238
481	1149	1235
482	1152	1233
483	1154	1230
484	1156	1228
485	1158	1225
486	1160	1222
487	1161	1219
488	1163	1216
489	1165	1212
490	1166	1209
491	1168	1206
492	1169	1203
493	1171	1200
494	1173	1197
495	1175	1194
496	1178	1192
497	1180	1190
498	1183	1187
499	1184	1184
500	1186	1181
501	1189	1179
502	1190	1176
503	1193	1174
504	1222	1198
505	1240	1210
506	1244	1210
507	1251	1211
508	1254	1209
509	1257	1207
510	1259	1205
511	1261	1202
512	1263	1199
513	1265	1196
514	1266	1192
515	1268	1189
516	1269	1186
517	1271	1183
518	1273	1179
519	1274	1176
520	1276	1173
521	1278	1170
522	1279	1166
523	1281	1164
524	1283	1161
525	1284	1157
526	1286	1154
527	1287	1151
528	1289	1147
529	1291	1145
530	1292	1142
531	1294	1138
532	1295	1135
533	1297	1132
534	1299	1129
535	1300	1126
536	1302	1123
537	1304	1120
538	1305	1116
539	1307	1114
540	1309	1111
541	1312	1108
542	1313	1105
543	1315	1102
544	1316	1099
545	1318	1096
546	1320	1093
547	1321	1090
548	1323	1086
549	1324	1084
550	1326	1080
551	1328	1077
552	1329	1074
553	1331	1071
554	1333	1068
555	1334	1065
556	1336	1062
557	1337	1059
558	1339	1056
559	1341	1053
560	1342	1050
561	1344	1047
562	1345	1044
563	1348	1042
564	1350	1039
565	1351	1036
566	1353	1033
567	1355	1030
568	1357	1027
569	1359	1025
570	1361	1022
571	1362	1019
572	1364	1016
573	1366	1013
574	1367	1010
575	1369	1008
576	1371	1005
577	1374	1003
578	1376	1001
579	1378	998
580	1380	995
581	1381	992
582	1383	989
583	1385	986
584	1387	984
585	1392	984
586	1436	1010
587	1438	1007
588	1441	1005
589	1450	1007
590	1452	1005
591	1454	1002
592	1456	999
593	1458	996
594	1459	993
595	1461	990
596	1463	987
597	1464	984
598	1466	981
599	1468	978
600	1470	976
601	1471	972
602	1473	969
603	1474	966
604	1476	964
605	1478	961
606	1479	958
607	1481	955
608	1483	952
609	1484	949
610	1487	946
611	1489	944
612	1490	941
613	1492	938
614	1494	935
615	1495	932
616	1497	929
617	1498	926
618	1500	923
619	1501	920
620	1503	917
621	1505	914
622	1506	911
623	1508	908
624	1510	906
625	1511	902
626	1512	900
627	1514	897
628	1516	894
629	1517	891
630	1519	888
631	1521	885
632	1523	883
633	1524	880
634	1526	877
635	1528	874
636	1529	871
637	1531	868
638	1532	866
639	1534	863
640	1536	860
641	1538	858
642	1540	855
643	1541	852
644	1544	850
645	1546	847
646	1548	844
647	1549	841
648	1550	838
649	1553	836
650	1555	834
651	1557	831
652	1558	828
653	1560	825
654	1561	822
655	1563	819
656	1565	817
657	1567	814
658	1569	812
659	1572	809
660	1574	807
661	1576	804
662	1611	818
663	1629	824
664	1632	822
665	1633	819
666	1635	816
667	1640	815
668	1642	812
669	1644	810
670	1650	809
671	1653	806
672	1655	804
673	1657	801
674	1660	799
675	1661	796
676	1663	793
677	1665	790
678	1667	788
679	1668	785
680	1670	782
681	1671	779
682	1673	776
683	1675	774
684	1677	771
685	1679	768
686	1680	765
687	1682	763
688	1684	760
689	1685	757
690	1687	754
691	1689	752
692	1691	749
693	1692	746
694	1694	743
695	1696	740
696	1697	738
697	1699	735
698	1701	732
699	1703	730
700	1704	727
701	1706	724
702	1708	721
703	1710	719
704	1711	716
705	1713	713
706	1714	710
707	1716	707
708	1717	705
709	1719	702
710	1720	699
711	1722	696
712	1724	694
713	1725	691
714	1728	688
715	1730	686
716	1731	683
717	1733	680
718	1735	678
719	1737	675
720	1739	673
721	1741	670
722	1743	667
723	1745	665
724	1747	663
725	1750	660
726	1752	658
727	1753	655
728	1755	652
729	1757	650
730	1759	647
731	1760	644
732	1762	641
733	1764	639
734	1766	636
735	1768	634
736	1770	631
737	1771	629
738	1780	628
739	1811	636
740	1814	634
741	1818	632
742	1824	631
743	1826	628
744	1829	626
745	1831	623
746	1832	620
747	1834	618
748	1836	615
749	1838	612
750	1839	609
751	1841	607
752	1843	604
753	1845	601
754	1846	599
755	1848	596
756	1849	593
757	1851	591
758	1853	588
759	1854	585
760	1856	583
761	1858	580
762	1859	577
763	1861	574
764	1862	572
765	1864	569
766	1865	566
767	1866	563
768	1868	561
769	1870	558
770	1871	555
771	1872	553
772	1874	550
773	1876	547
774	1878	545
775	1880	542
776	1882	540
777	1884	537
778	1886	535
779	1888	532
780	1889	529
781	1891	527
782	1893	524
783	1894	522
784	1896	519
785	1898	516
786	1900	514
787	1901	511
788	1903	509
789	1905	506
790	1906	503
791	1908	501
792	1910	498
793	1911	496
794	1913	493
795	1915	490
796	1917	488
797	1918	485
798	1920	483
799	1921	480
800	1923	477
801	1925	475
802	1927	472
803	1928	470
804	1931	467
805	1933	465
806	1936	463
807	1938	460
808	1940	458
809	1942	455
810	1943	453
811	1945	450
812	1947	447
813	1948	445
814	1950	442
815	1952	440
816	1955	437
817	1956	435
818	1958	432
819	1960	430
820	1962	427
821	1964	425
822	1966	422
823	1968	420
824	1970	418
825	1973	415
826	1975	413
827	1976	410
828	1978	408
829	1980	405
830	1982	403
831	1985	400
832	1986	398
833	1988	395
834	1990	393
835	1991	390
836	1994	388
837	1995	385
838	1997	383
839	1998	380
840	2000	378
841	2001	375
842	2003	373
843	2005	370
844	2006	368
845	2008	365
846	2010	363
847	2012	360
848	2013	358
849	2015	355
850	2016	353
851	2018	350
852	2019	348
853	2021	345
854	2022	343
855	2024	340
856	2043	341
857	2073	343
858	2075	340
859	2081	338
860	2088	337
861	2090	334
862	2094	332
863	2096	329
864	2097	327
865	2099	324
866	2101	322
867	2102	319
868	2104	317
869	2106	314
870	2108	312
871	2110	309
872	2112	307
873	2114	304
874	2116	302
875	2119	299
876	2120	297
877	2122	294
878	2125	292
879	2127	290
880	2129	287
881	2131	285
882	2133	282
883	2135	280
884	2138	277
885	2139	275
886	2141	272
887	2143	270
888	2144	267
889	2146	265
890	2149	262
891	2151	260
892	2153	258
893	2155	255
894	2206	258
895	2208	256
896	2211	253
897	2219	252
898	2221	249
899	2223	247
900	2225	244
901	2228	242
902	2230	239
903	2231	236
904	2233	234
905	2235	231
906	2236	229
907	2238	226
908	2240	224
909	2243	221
910	2244	219
911	2246	216
912	2248	214
913	2249	211
914	2251	209
915	2253	206
916	2254	204
917	2256	201
918	2258	199
919	2259	196
920	2261	193
921	2262	191
922	2264	188
923	2265	186
924	2267	183
925	2269	181
926	2271	178
927	2273	176
928	2275	173
929	2277	171
930	2278	168
931	2280	166
932	2281	163
933	2283	161
934	2285	158
935	2287	156
936	2288	153
937	2290	151
938	2291	148
939	2293	146
940	2295	143
941	2296	141
942	2298	138
943	2300	136
944	2301	133
945	2303	131
946	2305	129
947	2308	126
948	2309	124
949	2311	121
950	2313	119
951	2315	116
952	2316	114
953	2318	111
954	2319	109
955	2321	106
956	2324	104
957	2325	101
958	2327	99
959	2330	97
960	2332	94
961	2333	92
962	2335	89
963	2337	87
964	2339	84
965	2340	82
966	2342	79
967	2344	77
968	2346	75
969	2348	72
970	2350	70
971	2352	67
972	2354	65
973	2356	62
974	2357	60
975	2359	58
976	2361	55
977	2363	53
978	2365	50
979	2367	48
980	2413	46
981	2415	44
982	2421	41
983	2426	39
984	2428	36
985	2430	34
986	2432	32
987	2434	29
988	2436	27
989	2438	24
990	2439	22
991	2441	19
992	2443	17
993	2445	14
994	2447	12
995	2449	9
996	2451	7
997	2452	4
998	2454	2
999	2455	0
